video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=V6vtrxCXGjc&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@CBSNews,CBS News,CBSN Originals explores how new tech could be reinforcing racial bias in policing,3K,5 years,Police departments are turning to big data to help reduce crimes in their neighborhoods. But critics argue this technology ...,2026-01-22 05:29:51.284312
/watch?v=ZU_o87c08l4&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@Context_news,Context,Does predictive policing enforce racial bias?,13K,5 years,"As protests against racism and police brutality continue to sweep across the world, is predictive policing adding to the problem by ...",2026-01-22 05:29:51.286574
/watch?v=ACmbgGocJSk&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@AmericanLawInstitute,AmericanLawInstitute,"Reasonably Speaking: Race and Policing Part 2: Predictive Policing, Funding and Solutions (2019)",10,4 years,"In the second of this two-part Reasonably Speaking episode Sherrilyn Ifill (NAACP LDF), Barry Friedman (NYU Law), and John ...",2026-01-22 05:29:51.288458
/watch?v=wQDF3BSTdAo&t=8s&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@CBSNews,CBS News,Preview: Racial Profiling 2.0,2.1K,5 years,"As police departments turn to big data to help reduce crime in their neighborhoods, advocacy groups are sounding the alarm ...",2026-01-22 05:29:51.290401
/watch?v=eFcT-mzFTEk&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@Spark_McMaster,Spark: a centre for social research innovation,Logistic Regression to Identify Racism in Predictive Policing with Andrea DaViera,14,1 year,"Predictive policing is a tool used increasingly by law enforcement agencies around the world, but legal scholars, critics, and ...",2026-01-22 05:29:51.292139
/watch?v=LguLDCrDBhk&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@nyuschooloflaw,NYU School of Law,How Algorithms Reinforce Racial Bias in Policing with Professor Vincent Southerland,857,5 years,"Black and brown people are more likely to be stopped by the police, more likely to be arrested by the police, more likely to be ...",2026-01-22 05:29:51.293360
/watch?v=UyVUSu8lrYQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@BCCivilLiberties,BC Civil Liberties Association,Predict and Surveil: Racism in Policing and Surveillance Tech,2.4K,Streamed 5 years,"Algorithmic policing and technological surveillance by law enforcement, spy agencies, and large corporate interests have rapidly ...",2026-01-22 05:29:51.295181
/watch?v=aW1_OEG9E3s&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@France24_en,FRANCE 24 English,Racial bias and policing: Options and obstacles for effective reform • FRANCE 24 English,738,2 years,How can the #UnitedStates end its epidemic of racist #policeviolence? The question is raised with new urgency in the wake of ...,2026-01-22 05:29:51.296967
/watch?v=0QAfs5S93WU&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@The_Regulating_AI_Podcast,The RegulatingAI Podcast,"Edward Santow on Predictive Policing, Racial Bias and AI’s Impact on Human Rights | RegulatingAI",8.4K,5 months,"In this episode of the RegulatingAI podcast, host Sanjay Puri speaks with Professor Edward Santow, former Australian Human ...",2026-01-22 05:29:51.298689
/watch?v=3uOiG-xOP64&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@JacobinMag,Jacobin,"The Punitive, Dystopian Future of ""Predictive Policing""",1.7K,4 years,"On Jacobin's original series Weekends, Ana Kasparian examines the insidious rise of ""predictive policing"" and explains why it ...",2026-01-22 05:29:51.299940
/watch?v=J5HVSZwWhcQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@NACDLvideo,NACDLvideo,"Predictive Policing Task Force Webinar Upon Release of its Report, ""Garbage In, Gospel Out""",442,4 years,"""Garbage In, Gospel Out: How Data-Driven Policing Technologies Entrench Historic Racism and 'Tech-Wash' Bias in the Criminal ...",2026-01-22 05:29:51.302000
/watch?v=X4Gc3WMGIy0&list=RDX4Gc3WMGIy0&start_radio=1&t=485s&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtoAcB,/@ConversationEDU,The Conversation,Being Watched: How surveillance amplifies racist policing and threatens the right to protest,199,2 years,"Original air date - October 27th, 2021 Many of us know our personal data is being collected online and used against us – to get us ...",2026-01-22 05:29:51.304026
